baseJ,baseM,baseH,sampleJ,sampleM,sampleH,deltaE2000,deltaEOK,deltaEOK2
40.876755412317024,19.53947790234779,62.933003548532724,40.8639158366216,23.743130993641103,62.6034482058804,2.7948202174876875,0.014986031821712627,0.02997182270636049
40.876755412317024,19.53947790234779,62.933003548532724,50.139207409884136,20.286918849394837,66.89816806145797,8.50118070912914,0.07665237045952242,0.07777406116026271
40.876755412317024,19.53947790234779,62.933003548532724,42.25087846144658,18.834819227474814,60.92908425307729,1.593638818803247,0.012209281963147562,0.013659180708274153
40.876755412317024,19.53947790234779,62.933003548532724,43.98235274496359,25.87374648094494,61.813983800479946,5.058116692606483,0.035506929095402866,0.05414950647222238
40.876755412317024,19.53947790234779,62.933003548532724,37.45993084323658,18.407637878488597,66.82811838361607,3.7182146906908358,0.030687090884504487,0.033091459165845244
56.705921947453795,37.87227575143568,170.03413983620703,51.061213055293955,44.71239403377704,171.52432070521252,5.262521180580724,0.05363198529734238,0.07567511093920413
56.705921947453795,37.87227575143568,170.03413983620703,60.55723973135756,38.66028933140057,169.87977902133434,2.655645182702758,0.028936083046294407,0.0295582796218316
56.705921947453795,37.87227575143568,170.03413983620703,55.714177989623984,39.76269362023112,165.8181503946654,2.4209694645987314,0.01531495974674625,0.0276689932734166
56.705921947453795,37.87227575143568,170.03413983620703,56.65108054269667,38.82315988440385,172.4066742218041,1.3398798228356084,0.007125654295947692,0.01422945619447057
56.705921947453795,37.87227575143568,170.03413983620703,57.660692286898005,46.82266575100883,165.04564488983237,4.998016922503411,0.04182591622371152,0.08280451731754816
84.57181346126208,19.629645467455113,71.01138166151941,76.19671000137731,20.15904176568201,72.57753882342729,4.2416611189790405,0.055476511825992024,0.05567284566258379
84.57181346126208,19.629645467455113,71.01138166151941,86.03861179875838,21.789444334721424,69.45518374922267,1.7718278842615844,0.013695528263407713,0.021834195362084332
84.57181346126208,19.629645467455113,71.01138166151941,86.32111401397947,21.226413033030152,70.80126086353118,1.4280518752984614,0.013441388147269308,0.01834315471623831
84.57181346126208,19.629645467455113,71.01138166151941,82.047794354902,23.69894532640059,75.74909209676582,3.5337208910412237,0.024685772831823126,0.04039446269064606
84.57181346126208,19.629645467455113,71.01138166151941,83.3618006476281,23.920575550823532,73.12263915154415,3.109133561706835,0.019959731692807476,0.03758402830528173
50.8768615325683,44.85933399675318,169.4814925454557,52.695004561543776,42.288351776219635,167.88819582361975,2.047618285789419,0.019090337815071613,0.028933637572238935
50.8768615325683,44.85933399675318,169.4814925454557,44.6633091770503,46.65675230138246,172.82069080935707,5.5477045128203555,0.052318414935594824,0.05769759167830278
50.8768615325683,44.85933399675318,169.4814925454557,49.82646373496215,38.51388655592828,175.97333864242842,4.753670898172271,0.03384615505349719,0.06625332369601421
